sample_id,p_new_multiplier,n_robots,gamma_r_scale,lambda_loss,alpha,congestion_tolerance
58,0.806640625,64,1.1953125,4.84375,0.76171875,0.016328125
59,0.806640625,128,0.6171875,4.84375,0.76171875,0.016328125
60,0.806640625,128,1.1953125,4.96875,0.76171875,0.016328125
61,0.806640625,128,1.1953125,4.84375,0.66015625,0.016328125
62,0.806640625,128,1.1953125,4.84375,0.76171875,0.019140625
63,0.396484375,64,0.6171875,4.96875,0.66015625,0.019140625
64,1.041015625,32,0.6328125,3.59375,0.60546875,0.021953125000000004
65,3.443359375,32,0.6328125,3.59375,0.60546875,0.021953125000000004
66,1.041015625,128,0.6328125,3.59375,0.60546875,0.021953125000000004
67,1.041015625,32,0.8046875,3.59375,0.60546875,0.021953125000000004
68,1.041015625,32,0.6328125,2.21875,0.60546875,0.021953125000000004
69,1.041015625,32,0.6328125,3.59375,0.62890625,0.021953125000000004
70,1.041015625,32,0.6328125,3.59375,0.60546875,0.024765625
71,3.443359375,128,0.8046875,2.21875,0.62890625,0.024765625
72,2.916015625,64,1.1328125,1.59375,0.85546875,0.066953125
73,1.568359375,64,1.1328125,1.59375,0.85546875,0.066953125
74,2.916015625,32,1.1328125,1.59375,0.85546875,0.066953125
75,2.916015625,64,1.3046875,1.59375,0.85546875,0.066953125
76,2.916015625,64,1.1328125,4.21875,0.85546875,0.066953125
77,2.916015625,64,1.1328125,1.59375,0.87890625,0.066953125
78,2.916015625,64,1.1328125,1.59375,0.85546875,0.06976562500000001
79,1.568359375,32,1.3046875,4.21875,0.87890625,0.06976562500000001
80,3.853515625,64,0.8828125,4.59375,0.98046875,0.08945312500000001
81,2.505859375,64,0.8828125,4.59375,0.98046875,0.08945312500000001
82,3.853515625,8,0.8828125,4.59375,0.98046875,0.08945312500000001
83,3.853515625,64,1.0546875,4.59375,0.98046875,0.08945312500000001
84,3.853515625,64,0.8828125,3.21875,0.98046875,0.08945312500000001
85,3.853515625,64,0.8828125,4.59375,0.75390625,0.08945312500000001
86,3.853515625,64,0.8828125,4.59375,0.98046875,0.092265625
87,2.505859375,8,1.0546875,3.21875,0.75390625,0.092265625
88,1.978515625,128,1.3828125,2.59375,0.73046875,0.044453125
89,0.630859375,128,1.3828125,2.59375,0.73046875,0.044453125
90,1.978515625,64,1.3828125,2.59375,0.73046875,0.044453125
91,1.978515625,128,0.5546875,2.59375,0.73046875,0.044453125
92,1.978515625,128,1.3828125,1.21875,0.73046875,0.044453125
93,1.978515625,128,1.3828125,2.59375,0.50390625,0.044453125
94,1.978515625,128,1.3828125,2.59375,0.73046875,0.047265625000000006
95,0.630859375,64,0.5546875,1.21875,0.50390625,0.047265625000000006
96,1.509765625,64,1.0078125,2.09375,0.66796875,0.010703125
97,2.974609375,64,1.0078125,2.09375,0.66796875,0.010703125
98,1.509765625,32,1.0078125,2.09375,0.66796875,0.010703125
99,1.509765625,64,1.1796875,2.09375,0.66796875,0.010703125
100,1.509765625,64,1.0078125,4.71875,0.66796875,0.010703125
101,1.509765625,64,1.0078125,2.09375,0.81640625,0.010703125
102,1.509765625,64,1.0078125,2.09375,0.66796875,0.036015625
103,2.974609375,32,1.1796875,4.71875,0.81640625,0.036015625
104,3.384765625,128,0.5078125,4.09375,0.91796875,0.055703125000000006
105,1.099609375,128,0.5078125,4.09375,0.91796875,0.055703125000000006
106,3.384765625,64,0.5078125,4.09375,0.91796875,0.055703125000000006
107,3.384765625,128,0.6796875,4.09375,0.91796875,0.055703125000000006
108,3.384765625,128,0.5078125,2.71875,0.91796875,0.055703125000000006
109,3.384765625,128,0.5078125,4.09375,0.56640625,0.055703125000000006
110,3.384765625,128,0.5078125,4.09375,0.91796875,0.08101562500000001
111,1.099609375,64,0.6796875,2.71875,0.56640625,0.08101562500000001
112,2.447265625,16,1.2578125,1.09375,0.79296875,0.078203125
113,3.912109375,16,1.2578125,1.09375,0.79296875,0.078203125
114,2.447265625,128,1.2578125,1.09375,0.79296875,0.078203125
115,2.447265625,16,0.9296875,1.09375,0.79296875,0.078203125
116,2.447265625,16,1.2578125,1.71875,0.79296875,0.078203125
117,2.447265625,16,1.2578125,1.09375,0.69140625,0.078203125
118,2.447265625,16,1.2578125,1.09375,0.79296875,0.05851562500000001
119,3.912109375,128,0.9296875,1.71875,0.69140625,0.05851562500000001
120,0.572265625,64,0.7578125,3.09375,0.54296875,0.033203125
121,2.037109375,64,0.7578125,3.09375,0.54296875,0.033203125
122,0.572265625,64,0.7578125,3.09375,0.54296875,0.033203125
123,0.572265625,64,1.4296875,3.09375,0.54296875,0.033203125
124,0.572265625,64,0.7578125,3.71875,0.54296875,0.033203125
125,0.572265625,64,0.7578125,3.09375,0.94140625,0.033203125
126,0.572265625,64,0.7578125,3.09375,0.54296875,0.013515625
127,2.037109375,64,1.4296875,3.71875,0.94140625,0.013515625
128,0.689453125,16,1.1640625,2.96875,0.96484375,0.05851562500000001
129,0.748046875,16,1.1640625,2.96875,0.96484375,0.05851562500000001
130,0.689453125,128,1.1640625,2.96875,0.96484375,0.05851562500000001
131,0.689453125,16,1.2734375,2.96875,0.96484375,0.05851562500000001
132,0.689453125,16,1.1640625,1.84375,0.96484375,0.05851562500000001
133,0.689453125,16,1.1640625,2.96875,0.95703125,0.05851562500000001
134,0.689453125,16,1.1640625,2.96875,0.96484375,0.038828125000000005
135,0.748046875,128,1.2734375,1.84375,0.95703125,0.038828125000000005
136,2.564453125,64,0.6640625,4.96875,0.71484375,0.013515625
137,2.623046875,64,0.6640625,4.96875,0.71484375,0.013515625
138,2.564453125,64,0.6640625,4.96875,0.71484375,0.013515625
139,2.564453125,64,0.7734375,4.96875,0.71484375,0.013515625
140,2.564453125,64,0.6640625,3.84375,0.71484375,0.013515625
141,2.564453125,64,0.6640625,4.96875,0.70703125,0.013515625
142,2.564453125,64,0.6640625,4.96875,0.71484375,0.083828125
143,2.623046875,64,0.7734375,3.84375,0.70703125,0.083828125
144,3.501953125,64,1.4140625,1.96875,0.58984375,0.036015625
145,1.685546875,64,1.4140625,1.96875,0.58984375,0.036015625
146,3.501953125,32,1.4140625,1.96875,0.58984375,0.036015625
147,3.501953125,64,0.5234375,1.96875,0.58984375,0.036015625
148,3.501953125,64,1.4140625,4.84375,0.58984375,0.036015625
149,3.501953125,64,1.4140625,1.96875,0.58203125,0.036015625
150,3.501953125,64,1.4140625,1.96875,0.58984375,0.06132812500000001
151,1.685546875,32,0.5234375,4.84375,0.58203125,0.06132812500000001
152,1.626953125,128,0.9140625,3.96875,0.83984375,0.08101562500000001
153,3.560546875,128,0.9140625,3.96875,0.83984375,0.08101562500000001
154,1.626953125,64,0.9140625,3.96875,0.83984375,0.08101562500000001
155,1.626953125,128,1.0234375,3.96875,0.83984375,0.08101562500000001
156,1.626953125,128,0.9140625,2.84375,0.83984375,0.08101562500000001
157,1.626953125,128,0.9140625,3.96875,0.83203125,0.08101562500000001
158,1.626953125,128,0.9140625,3.96875,0.83984375,0.016328125
159,3.560546875,64,1.0234375,2.84375,0.83203125,0.016328125
160,2.095703125,64,0.5390625,3.46875,0.77734375,0.06976562500000001
161,1.216796875,64,0.5390625,3.46875,0.77734375,0.06976562500000001
162,2.095703125,16,0.5390625,3.46875,0.77734375,0.06976562500000001
163,2.095703125,64,0.6484375,3.46875,0.77734375,0.06976562500000001
164,2.095703125,64,0.5390625,3.34375,0.77734375,0.06976562500000001
165,2.095703125,64,0.5390625,3.46875,0.51953125,0.06976562500000001
166,2.095703125,64,0.5390625,3.46875,0.77734375,0.027578125000000002
167,1.216796875,16,0.6484375,3.34375,0.51953125,0.027578125000000002
168,3.970703125,128,1.0390625,1.46875,0.52734375,0.024765625
169,3.091796875,128,1.0390625,1.46875,0.52734375,0.024765625
170,3.970703125,64,1.0390625,1.46875,0.52734375,0.024765625
171,3.970703125,128,1.1484375,1.46875,0.52734375,0.024765625
172,3.970703125,128,1.0390625,1.34375,0.52734375,0.024765625
173,3.970703125,128,1.0390625,1.46875,0.76953125,0.024765625
174,3.970703125,128,1.0390625,1.46875,0.52734375,0.07257812500000001
175,3.091796875,64,1.1484375,1.34375,0.76953125,0.07257812500000001
176,3.033203125,32,0.7890625,4.46875,0.65234375,0.047265625000000006
177,0.279296875,32,0.7890625,4.46875,0.65234375,0.047265625000000006
178,3.033203125,128,0.7890625,4.46875,0.65234375,0.047265625000000006
179,3.033203125,32,1.3984375,4.46875,0.65234375,0.047265625000000006
180,3.033203125,32,0.7890625,2.34375,0.65234375,0.047265625000000006
181,3.033203125,32,0.7890625,4.46875,0.89453125,0.047265625000000006
182,3.033203125,32,0.7890625,4.46875,0.65234375,0.095078125
183,0.279296875,128,1.3984375,2.34375,0.89453125,0.095078125
184,1.158203125,128,1.2890625,2.46875,0.90234375,0.092265625
185,2.154296875,128,1.2890625,2.46875,0.90234375,0.092265625
186,1.158203125,32,1.2890625,2.46875,0.90234375,0.092265625
187,1.158203125,128,0.8984375,2.46875,0.90234375,0.092265625
188,1.158203125,128,1.2890625,4.34375,0.90234375,0.092265625
189,1.158203125,128,1.2890625,2.46875,0.64453125,0.092265625
190,1.158203125,128,1.2890625,2.46875,0.90234375,0.05007812500000001
191,2.154296875,32,0.8984375,4.34375,0.64453125,0.05007812500000001
192,0.923828125,32,0.8515625,1.21875,0.74609375,0.086640625
193,1.451171875,32,0.8515625,1.21875,0.74609375,0.086640625
194,0.923828125,16,0.8515625,1.21875,0.74609375,0.086640625
195,0.923828125,32,0.7109375,1.21875,0.74609375,0.086640625
196,0.923828125,32,0.8515625,2.59375,0.74609375,0.086640625
197,0.923828125,32,0.8515625,1.21875,0.67578125,0.086640625
198,0.923828125,32,0.8515625,1.21875,0.74609375,0.033203125
199,1.451171875,16,0.7109375,2.59375,0.67578125,0.033203125
200,2.798828125,128,1.3515625,3.21875,0.99609375,0.04164062500000001
201,3.326171875,128,1.3515625,3.21875,0.99609375,0.04164062500000001
202,2.798828125,64,1.3515625,3.21875,0.99609375,0.04164062500000001
203,2.798828125,128,1.2109375,3.21875,0.99609375,0.04164062500000001
204,2.798828125,128,1.3515625,4.59375,0.99609375,0.04164062500000001
205,2.798828125,128,1.3515625,3.21875,0.92578125,0.04164062500000001
206,2.798828125,128,1.3515625,3.21875,0.99609375,0.078203125
207,3.326171875,64,1.2109375,4.59375,0.92578125,0.078203125
208,3.736328125,16,0.6015625,2.21875,0.87109375,0.019140625
209,0.513671875,16,0.6015625,2.21875,0.87109375,0.019140625
210,3.736328125,128,0.6015625,2.21875,0.87109375,0.019140625
211,3.736328125,16,1.4609375,2.21875,0.87109375,0.019140625
212,3.736328125,16,0.6015625,3.59375,0.87109375,0.019140625
213,3.736328125,16,0.6015625,2.21875,0.80078125,0.019140625
214,3.736328125,16,0.6015625,2.21875,0.87109375,0.055703125000000006
215,0.513671875,128,1.4609375,3.59375,0.80078125,0.055703125000000006
216,1.861328125,64,1.1015625,4.21875,0.62109375,0.064140625
217,2.388671875,64,1.1015625,4.21875,0.62109375,0.064140625
218,1.861328125,64,1.1015625,4.21875,0.62109375,0.064140625
219,1.861328125,64,0.9609375,4.21875,0.62109375,0.064140625
220,1.861328125,64,1.1015625,1.59375,0.62109375,0.064140625
221,1.861328125,64,1.1015625,4.21875,0.55078125,0.064140625
222,1.861328125,64,1.1015625,4.21875,0.62109375,0.010703125
223,2.388671875,64,0.9609375,1.59375,0.55078125,0.010703125
224,1.392578125,32,1.4765625,4.71875,0.55859375,0.09789062500000001
225,0.982421875,32,1.4765625,4.71875,0.55859375,0.09789062500000001
226,1.392578125,128,1.4765625,4.71875,0.55859375,0.09789062500000001
227,1.392578125,32,1.3359375,4.71875,0.55859375,0.09789062500000001
228,1.392578125,32,1.4765625,4.09375,0.55859375,0.09789062500000001
229,1.392578125,32,1.4765625,4.71875,0.86328125,0.09789062500000001
230,1.392578125,32,1.4765625,4.71875,0.55859375,0.021953125000000004
231,0.982421875,128,1.3359375,4.09375,0.86328125,0.021953125000000004
232,3.267578125,64,0.9765625,2.71875,0.80859375,0.052890625000000004
233,2.857421875,64,0.9765625,2.71875,0.80859375,0.052890625000000004
234,3.267578125,64,0.9765625,2.71875,0.80859375,0.052890625000000004
235,3.267578125,64,0.8359375,2.71875,0.80859375,0.052890625000000004
236,3.267578125,64,0.9765625,2.09375,0.80859375,0.052890625000000004
237,3.267578125,64,0.9765625,2.71875,0.61328125,0.052890625000000004
238,3.267578125,64,0.9765625,2.71875,0.80859375,0.066953125
239,2.857421875,64,0.8359375,2.09375,0.61328125,0.066953125
240,2.330078125,64,1.2265625,3.71875,0.93359375,0.030390625000000004
241,1.919921875,64,1.2265625,3.71875,0.93359375,0.030390625000000004
242,2.330078125,32,1.2265625,3.71875,0.93359375,0.030390625000000004
243,2.330078125,64,0.5859375,3.71875,0.93359375,0.030390625000000004
244,2.330078125,64,1.2265625,1.09375,0.93359375,0.030390625000000004
245,2.330078125,64,1.2265625,3.71875,0.73828125,0.030390625000000004
246,2.330078125,64,1.2265625,3.71875,0.93359375,0.08945312500000001
247,1.919921875,32,0.5859375,1.09375,0.73828125,0.08945312500000001
248,0.455078125,128,0.7265625,1.71875,0.68359375,0.075390625
249,3.794921875,128,0.7265625,1.71875,0.68359375,0.075390625
250,0.455078125,128,0.7265625,1.71875,0.68359375,0.075390625
251,0.455078125,128,1.0859375,1.71875,0.68359375,0.075390625
252,0.455078125,128,0.7265625,3.09375,0.68359375,0.075390625
253,0.455078125,128,0.7265625,1.71875,0.98828125,0.075390625
254,0.455078125,128,0.7265625,1.71875,0.68359375,0.044453125
255,3.794921875,128,1.0859375,3.09375,0.98828125,0.044453125
256,0.396484375,16,0.8984375,2.40625,0.75390625,0.065546875
257,1.744140625,16,0.8984375,2.40625,0.75390625,0.065546875
258,0.396484375,64,0.8984375,2.40625,0.75390625,0.065546875
259,0.396484375,16,0.7578125,2.40625,0.75390625,0.065546875
260,0.396484375,16,0.8984375,1.28125,0.75390625,0.065546875
261,0.396484375,16,0.8984375,2.40625,0.79296875,0.065546875
262,0.396484375,16,0.8984375,2.40625,0.75390625,0.082421875
263,1.744140625,64,0.7578125,1.28125,0.79296875,0.082421875
264,2.271484375,64,1.3984375,4.40625,0.50390625,0.020546875
265,3.619140625,64,1.3984375,4.40625,0.50390625,0.020546875
266,2.271484375,16,1.3984375,4.40625,0.50390625,0.020546875
267,2.271484375,64,1.2578125,4.40625,0.50390625,0.020546875
268,2.271484375,64,1.3984375,3.28125,0.50390625,0.020546875
269,2.271484375,64,1.3984375,4.40625,0.54296875,0.020546875
270,2.271484375,64,1.3984375,4.40625,0.50390625,0.037421875
271,3.619140625,16,1.2578125,3.28125,0.54296875,0.037421875
272,3.208984375,64,0.6484375,1.40625,0.62890625,0.043046875000000005
273,0.806640625,64,0.6484375,1.40625,0.62890625,0.043046875000000005
274,3.208984375,64,0.6484375,1.40625,0.62890625,0.043046875000000005
275,3.208984375,64,1.0078125,1.40625,0.62890625,0.043046875000000005
276,3.208984375,64,0.6484375,4.28125,0.62890625,0.043046875000000005
277,3.208984375,64,0.6484375,1.40625,0.66796875,0.043046875000000005
278,3.208984375,64,0.6484375,1.40625,0.62890625,0.014921875000000001
279,0.806640625,64,1.0078125,4.28125,0.66796875,0.014921875000000001
280,1.333984375,128,1.1484375,3.40625,0.87890625,0.08804687500000001
281,2.681640625,128,1.1484375,3.40625,0.87890625,0.08804687500000001
282,1.333984375,128,1.1484375,3.40625,0.87890625,0.08804687500000001
283,1.333984375,128,0.5078125,3.40625,0.87890625,0.08804687500000001
284,1.333984375,128,1.1484375,2.28125,0.87890625,0.08804687500000001
285,1.333984375,128,1.1484375,3.40625,0.91796875,0.08804687500000001
286,1.333984375,128,1.1484375,3.40625,0.87890625,0.059921875000000006
287,2.681640625,128,0.5078125,2.28125,0.91796875,0.059921875000000006
288,1.802734375,32,1.2734375,3.90625,0.94140625,0.076796875
289,0.337890625,32,1.2734375,3.90625,0.94140625,0.076796875
290,1.802734375,64,1.2734375,3.90625,0.94140625,0.076796875
291,1.802734375,32,1.1328125,3.90625,0.94140625,0.076796875
292,1.802734375,32,1.2734375,3.78125,0.94140625,0.076796875
293,1.802734375,32,1.2734375,3.90625,0.73046875,0.076796875
294,1.802734375,32,1.2734375,3.90625,0.94140625,0.07117187500000001
295,0.337890625,64,1.1328125,3.78125,0.73046875,0.07117187500000001
296,3.677734375,128,0.7734375,1.90625,0.69140625,0.031796875
297,2.212890625,128,0.7734375,1.90625,0.69140625,0.031796875
298,3.677734375,128,0.7734375,1.90625,0.69140625,0.031796875
299,3.677734375,128,0.6328125,1.90625,0.69140625,0.031796875
300,3.677734375,128,0.7734375,1.78125,0.69140625,0.031796875
301,3.677734375,128,0.7734375,1.90625,0.98046875,0.031796875
302,3.677734375,128,0.7734375,1.90625,0.69140625,0.026171875000000004
303,2.212890625,128,0.6328125,1.78125,0.98046875,0.026171875000000004
304,2.740234375,8,1.0234375,4.90625,0.56640625,0.05429687500000001
305,1.275390625,8,1.0234375,4.90625,0.56640625,0.05429687500000001
306,2.740234375,64,1.0234375,4.90625,0.56640625,0.05429687500000001
307,2.740234375,8,0.8828125,4.90625,0.56640625,0.05429687500000001
308,2.740234375,8,1.0234375,2.78125,0.56640625,0.05429687500000001
309,2.740234375,8,1.0234375,4.90625,0.85546875,0.05429687500000001
310,2.740234375,8,1.0234375,4.90625,0.56640625,0.048671875
311,1.275390625,64,0.8828125,2.78125,0.85546875,0.048671875
312,0.865234375,64,0.5234375,2.90625,0.81640625,0.099296875
313,3.150390625,64,0.5234375,2.90625,0.81640625,0.099296875
314,0.865234375,32,0.5234375,2.90625,0.81640625,0.099296875
315,0.865234375,64,1.3828125,2.90625,0.81640625,0.099296875
316,0.865234375,64,0.5234375,4.78125,0.81640625,0.099296875
317,0.865234375,64,0.5234375,2.90625,0.60546875,0.099296875
318,0.865234375,64,0.5234375,2.90625,0.81640625,0.093671875
319,3.150390625,32,1.3828125,4.78125,0.60546875,0.093671875
320,1.099609375,64,1.0859375,1.65625,0.53515625,0.082421875
321,0.572265625,64,1.0859375,1.65625,0.53515625,0.082421875
322,1.099609375,64,1.0859375,1.65625,0.53515625,0.082421875
323,1.099609375,64,1.1953125,1.65625,0.53515625,0.082421875
324,1.099609375,64,1.0859375,2.03125,0.53515625,0.082421875
325,1.099609375,64,1.0859375,1.65625,0.57421875,0.082421875
326,1.099609375,64,1.0859375,1.65625,0.53515625,0.08804687500000001
327,0.572265625,64,1.1953125,2.03125,0.57421875,0.08804687500000001
328,2.974609375,128,0.5859375,3.65625,0.78515625,0.037421875
329,2.447265625,128,0.5859375,3.65625,0.78515625,0.037421875
330,2.974609375,128,0.5859375,3.65625,0.78515625,0.037421875
331,2.974609375,128,0.6953125,3.65625,0.78515625,0.037421875
332,2.974609375,128,0.5859375,4.03125,0.78515625,0.037421875
333,2.974609375,128,0.5859375,3.65625,0.82421875,0.037421875
334,2.974609375,128,0.5859375,3.65625,0.78515625,0.043046875000000005
335,2.447265625,128,0.6953125,4.03125,0.82421875,0.043046875000000005
336,3.912109375,32,1.3359375,2.65625,0.91015625,0.014921875000000001
337,1.509765625,32,1.3359375,2.65625,0.91015625,0.014921875000000001
338,3.912109375,64,1.3359375,2.65625,0.91015625,0.014921875000000001
339,3.912109375,32,0.9453125,2.65625,0.91015625,0.014921875000000001
340,3.912109375,32,1.3359375,3.03125,0.91015625,0.014921875000000001
341,3.912109375,32,1.3359375,2.65625,0.94921875,0.014921875000000001
342,3.912109375,32,1.3359375,2.65625,0.91015625,0.020546875
343,1.509765625,64,0.9453125,3.03125,0.94921875,0.020546875
344,2.037109375,64,0.8359375,4.65625,0.66015625,0.059921875000000006
345,3.384765625,64,0.8359375,4.65625,0.66015625,0.059921875000000006
346,2.037109375,32,0.8359375,4.65625,0.66015625,0.059921875000000006
347,2.037109375,64,1.4453125,4.65625,0.66015625,0.059921875000000006
348,2.037109375,64,0.8359375,1.03125,0.66015625,0.059921875000000006
349,2.037109375,64,0.8359375,4.65625,0.69921875,0.059921875000000006
350,2.037109375,64,0.8359375,4.65625,0.66015625,0.065546875
351,3.384765625,32,1.4453125,1.03125,0.69921875,0.065546875
352,1.568359375,16,0.7109375,4.15625,0.72265625,0.093671875
353,1.978515625,16,0.7109375,4.15625,0.72265625,0.093671875
354,1.568359375,64,0.7109375,4.15625,0.72265625,0.093671875
355,1.568359375,16,0.8203125,4.15625,0.72265625,0.093671875
356,1.568359375,16,0.7109375,4.53125,0.72265625,0.093671875
357,1.568359375,16,0.7109375,4.15625,0.88671875,0.093671875
358,1.568359375,16,0.7109375,4.15625,0.72265625,0.076796875
359,1.978515625,64,0.8203125,4.53125,0.88671875,0.076796875
360,3.443359375,64,1.2109375,2.15625,0.97265625,0.048671875
361,3.853515625,64,1.2109375,2.15625,0.97265625,0.048671875
362,3.443359375,16,1.2109375,2.15625,0.97265625,0.048671875
363,3.443359375,64,1.3203125,2.15625,0.97265625,0.048671875
364,3.443359375,64,1.2109375,2.53125,0.97265625,0.048671875
365,3.443359375,64,1.2109375,2.15625,0.63671875,0.048671875
366,3.443359375,64,1.2109375,2.15625,0.97265625,0.031796875
367,3.853515625,16,1.3203125,2.53125,0.63671875,0.031796875
368,2.505859375,32,0.9609375,3.15625,0.84765625,0.026171875000000004
369,1.041015625,32,0.9609375,3.15625,0.84765625,0.026171875000000004
370,2.505859375,32,0.9609375,3.15625,0.84765625,0.026171875000000004
371,2.505859375,32,1.0703125,3.15625,0.84765625,0.026171875000000004
372,2.505859375,32,0.9609375,1.53125,0.84765625,0.026171875000000004
373,2.505859375,32,0.9609375,3.15625,0.51171875,0.026171875000000004
374,2.505859375,32,0.9609375,3.15625,0.84765625,0.05429687500000001
375,1.041015625,32,1.0703125,1.53125,0.51171875,0.05429687500000001
376,0.630859375,128,1.4609375,1.15625,0.59765625,0.07117187500000001
377,2.916015625,128,1.4609375,1.15625,0.59765625,0.07117187500000001
378,0.630859375,128,1.4609375,1.15625,0.59765625,0.07117187500000001
379,0.630859375,128,0.5703125,1.15625,0.59765625,0.07117187500000001
380,0.630859375,128,1.4609375,3.53125,0.59765625,0.07117187500000001
381,0.630859375,128,1.4609375,1.15625,0.76171875,0.07117187500000001
382,0.630859375,128,1.4609375,1.15625,0.59765625,0.099296875
383,2.916015625,128,0.5703125,3.53125,0.76171875,0.099296875
384,0.513671875,64,0.6171875,4.78125,0.89453125,0.04585937500000001
385,3.736328125,64,0.6171875,4.78125,0.89453125,0.04585937500000001
386,0.513671875,32,0.6171875,4.78125,0.89453125,0.04585937500000001
387,0.513671875,64,0.7265625,4.78125,0.89453125,0.04585937500000001
388,0.513671875,64,0.6171875,1.90625,0.89453125,0.04585937500000001
389,0.513671875,64,0.6171875,4.78125,0.77734375,0.04585937500000001
390,0.513671875,64,0.6171875,4.78125,0.89453125,0.068359375
391,3.736328125,32,0.7265625,1.90625,0.77734375,0.068359375
392,2.388671875,128,1.1171875,2.78125,0.64453125,0.090859375
393,1.861328125,128,1.1171875,2.78125,0.64453125,0.090859375
394,2.388671875,128,1.1171875,2.78125,0.64453125,0.090859375
395,2.388671875,128,1.2265625,2.78125,0.64453125,0.090859375
396,2.388671875,128,1.1171875,3.90625,0.64453125,0.090859375
397,2.388671875,128,1.1171875,2.78125,0.52734375,0.090859375
398,2.388671875,128,1.1171875,2.78125,0.64453125,0.023359375
399,1.861328125,128,1.2265625,3.90625,0.52734375,0.023359375
400,3.326171875,16,0.8671875,3.78125,0.51953125,0.068359375
401,2.798828125,16,0.8671875,3.78125,0.51953125,0.068359375
402,3.326171875,64,0.8671875,3.78125,0.51953125,0.068359375
403,3.326171875,16,1.4765625,3.78125,0.51953125,0.068359375
